segments,substeps,iterations,max_dt,element,elements_per_sweep,element_over_diameter
16,1,1,0.182002998841,0.0625,12.8987619567,6.25
16,1,4,0.412940681565,0.0625,7.31639531722,6.25
32,1,1,0.00569002674173,0.03125,0.806517485276,3.125
32,4,1,0.340331593609,0.03125,12.0598458275,3.125
32,1,4,0.174407691,0.03125,6.18023687511,3.125
64,1,1,0.0395366840096,0.015625,11.2080411608,1.5625
64,4,1,0.159158780597,0.015625,11.2797659232,1.5625
64,1,4,0.0809716943892,0.015625,5.73855715461,1.5625
128,1,1,0.0193149248752,0.0078125,10.950967611,0.78125
128,4,1,0.00383293298593,0.0078125,0.543288742454,0.78125
128,1,4,0.0390667781067,0.0078125,5.53741503627,0.78125
