scenario,segments,steps,strategy,max_dx,max_dq,ordering_only_dx
gravity,16,1,multikernel,5.42731776386e-09,3.75129952633e-07,9.10408280331e-11
gravity,16,1,fused,5.42731776386e-09,3.75129952633e-07,9.10408280331e-11
gravity,16,10,multikernel,3.56335995508e-07,3.24775782667e-06,8.06430535995e-09
gravity,16,10,fused,3.56335995508e-07,3.24775782667e-06,8.06430535995e-09
gravity,16,50,multikernel,6.58104168059e-06,2.44446928819e-05,7.33558521304e-07
gravity,16,50,fused,6.58104168059e-06,2.44446928819e-05,7.33558521304e-07
gravity,16,200,multikernel,0.000289623475017,0.000762631996388,6.10276364055e-06
gravity,16,200,fused,0.000289623475017,0.000762631996388,6.10276364055e-06
gravity,48,1,multikernel,1.99343645715e-08,1.73481090425e-07,1.18799416318e-09
gravity,48,1,fused,1.99343645715e-08,1.73481090425e-07,1.18799416318e-09
gravity,48,10,multikernel,3.30263814569e-07,5.00537935689e-07,1.94234957424e-06
gravity,48,10,fused,3.30263814569e-07,5.00537935689e-07,1.94234957424e-06
gravity,48,50,multikernel,2.92827559586e-06,1.42527552737e-05,2.33426984319e-05
gravity,48,50,fused,2.92827559586e-06,1.42527552737e-05,2.33426984319e-05
gravity,48,200,multikernel,0.000259148829693,0.000806426975149,0.000145749043725
gravity,48,200,fused,0.000259148829693,0.000806426975149,0.000145749043725
gravity,128,1,multikernel,3.80693896233e-09,1.42193888307e-07,1.78774281061e-07
gravity,128,1,fused,3.80693896233e-09,1.42193888307e-07,1.78774281061e-07
gravity,128,10,multikernel,2.83268419016e-08,2.06207361951e-07,1.08690109879e-05
gravity,128,10,fused,2.83268419016e-08,2.06207361951e-07,1.08690109879e-05
gravity,128,50,multikernel,1.70316673255e-06,9.72194445528e-06,0.000132960888095
gravity,128,50,fused,1.70316673255e-06,9.72194445528e-06,0.000132960888095
gravity,128,200,multikernel,0.000248131735409,0.00102547897585,0.000591108971471
gravity,128,200,fused,0.000248131735409,0.00102547897585,0.000591108971471
loaded,16,1,multikernel,7.27654084498e-09,3.57782271808e-07,6.01935959032e-09
loaded,16,1,fused,7.27654084498e-09,3.57782271808e-07,6.01935959032e-09
loaded,16,10,multikernel,6.19620261068e-07,5.83989406966e-06,5.61307358901e-08
loaded,16,10,fused,6.19620261068e-07,5.83989406966e-06,5.61307358901e-08
loaded,16,50,multikernel,1.8859114699e-05,9.55743274829e-05,9.05851736648e-07
loaded,16,50,fused,1.8859114699e-05,9.55743274829e-05,9.05851736648e-07
loaded,16,200,multikernel,0.00030164917792,0.00161266928999,4.56005672421e-06
loaded,16,200,fused,0.00030164917792,0.00161266928999,4.56005672421e-06
loaded,48,1,multikernel,2.2388935371e-08,2.52168890161e-07,8.04844848815e-08
loaded,48,1,fused,2.2388935371e-08,2.52168890161e-07,8.04844848815e-08
loaded,48,10,multikernel,5.25187066529e-07,3.29868128241e-06,6.69871540182e-06
loaded,48,10,fused,5.25187066529e-07,3.29868128241e-06,6.69871540182e-06
loaded,48,50,multikernel,1.62234953745e-05,0.000196728211508,4.5673703285e-05
loaded,48,50,fused,1.62234953745e-05,0.000196728211508,4.5673703285e-05
loaded,48,200,multikernel,0.000258887114533,0.00136955527204,8.4031230577e-05
loaded,48,200,fused,0.000258887114533,0.00136955527204,8.4031230577e-05
loaded,128,1,multikernel,4.85628968401e-08,1.84027695822e-07,5.52691442837e-06
loaded,128,1,fused,4.85628968401e-08,1.84027695822e-07,5.52691442837e-06
loaded,128,10,multikernel,3.69603561832e-07,2.6056615389e-06,4.24708775571e-05
loaded,128,10,fused,3.69603561832e-07,2.6056615389e-06,4.24708775571e-05
loaded,128,50,multikernel,1.78432814428e-06,3.5412346035e-05,0.00161761179052
loaded,128,50,fused,1.78432814428e-06,3.5412346035e-05,0.00161761179052
loaded,128,200,multikernel,0.000307364348417,0.00206077496052,0.00106728522868
loaded,128,200,fused,0.000307364348417,0.00206077496052,0.00106728522868
contact,16,1,multikernel,5.42731776386e-09,3.75129952633e-07,9.10408280331e-11
contact,16,1,fused,5.42731776386e-09,3.75129952633e-07,9.10408280331e-11
contact,16,10,multikernel,6.24872853052e-06,5.83562356163e-05,1.00852035531e-07
contact,16,10,fused,6.24872853052e-06,5.83562356163e-05,1.00852035531e-07
contact,16,50,multikernel,1.01199040327e-07,2.61166253842e-07,1.51332141885e-07
contact,16,50,fused,1.01199040327e-07,2.61166253842e-07,1.51332141885e-07
contact,16,200,multikernel,1.60919158868e-07,2.99904492078e-07,8.80867374652e-08
contact,16,200,fused,1.60919158868e-07,2.99904492078e-07,8.80867374652e-08
contact,48,1,multikernel,1.99343645715e-08,1.73481090425e-07,1.18799416318e-09
contact,48,1,fused,1.99343645715e-08,1.73481090425e-07,1.18799416318e-09
contact,48,10,multikernel,2.89833843977e-06,2.23641665965e-05,3.38280734267e-06
contact,48,10,fused,2.89833843977e-06,2.23641665965e-05,3.38280734267e-06
contact,48,50,multikernel,1.76178026326e-07,2.49057573454e-06,7.09408446844e-07
contact,48,50,fused,1.76178026326e-07,2.49057573454e-06,7.09408446844e-07
contact,48,200,multikernel,1.17167219613e-07,2.33208605569e-06,7.29479669313e-07
contact,48,200,fused,1.17167219613e-07,2.33208605569e-06,7.29479669313e-07
contact,128,1,multikernel,3.80693896233e-09,1.42193888307e-07,1.78774281061e-07
contact,128,1,fused,3.80693896233e-09,1.42193888307e-07,1.78774281061e-07
contact,128,10,multikernel,4.45166157436e-06,2.36866241694e-05,5.20715311694e-06
contact,128,10,fused,4.45166157436e-06,2.36866241694e-05,5.20715311694e-06
contact,128,50,multikernel,1.34639096785e-07,5.90320299989e-06,4.71896190539e-06
contact,128,50,fused,1.34639096785e-07,5.90320299989e-06,4.71896190539e-06
contact,128,200,multikernel,1.34812082328e-07,4.8961412318e-06,4.71654291362e-06
contact,128,200,fused,1.34812082328e-07,4.8961412318e-06,4.71654291362e-06
