scenario,quantity,gpu,cpu,gpu_minus_cpu,lo,hi,agree,limited
helix,helix radius (relative),0.000881677016017,4.42527958722e-13,0.000881677015575,0,0.02,0.003,0
helix,helix pitch (relative),0.000518045963286,0.000521295224233,-3.24926094661e-06,0,0.02,0.001,0
helix,helix residual elastic energy,3.23968926206e-07,6.79169577739e-24,3.23968926206e-07,0,0.01,0.001,0
contact,rest height on four primitives (relative),2.23517418116e-08,2.05717795739e-13,2.23515360938e-08,0,0.02,0.0001,0
contact,residual penetration (m),4.76765942958e-09,0,4.76765942958e-09,-1,1e-05,1e-05,0
self-collision,self-interpenetration (/diameter),0.000155246319433,0.000608801453866,-0.000453555134432,0,0.05,-1,0
self-collision,peak touching strand pairs,25,107,-82,10,1000000000,-1,0
self-collision,self-contact overflow,0,0,0,0,0,-1,0
incline-2,slip angle vs atan(mu) (relative),0.0182411945522,0.00453161888826,0.013709575664,0,0.05,0.04,0
incline-2,effective mu while sliding (relative),0.0272563009809,2.33656149984e-11,0.0272563009576,0,0.08,0.04,0
incline,slip angle vs atan(mu) (relative),0.135052611461,0.00453161885717,0.130520992604,0,0.05,0.04,1
incline,effective mu while sliding (relative),0.268424460348,6.59404614245e-10,0.268424459688,0,0.08,0.04,1
tip-load,cantilever tip vs Euler-Bernoulli,0.0383255295455,0.000519449954464,0.0378060795911,0,0.01,0.0001,1
tip-load,elastica tip vs exact, alpha 0.5-5 (/L),0.00764473237204,0.000759434393953,0.00688529797808,0,0.005,0.0001,1
tip-load,tip vs direct static solve (/L),0.00720684718252,0.000139506725958,0.00706734045656,0,0.0001,0.0001,1
end-moment,end-moment arc radius vs EI/M,0.0276225073885,0.00175318986171,0.0258693175268,0,0.005,0.0001,1
end-moment,arc radius vs direct static solve,0.0260117178163,0.000142400289492,0.0258693175268,0,0.0001,0.0001,1
twist-buckling,buckling threshold, n = 16,0.081336262691,0.0145391651183,0.0667970975727,0,0.02,0.001,1
twist-buckling,buckling threshold, n = 24,0.00819865309657,0.00644357982844,0.00175507326813,0,0.02,0.001,1
twist-buckling,buckling threshold, n = 32,0.085423648768,0.00369402123063,0.0817296275374,0,0.01,0.001,1
twist-buckling,buckling threshold convergence order,0.305348569017,1.97866930587,-1.67332073685,1.7,2.3,0.2,1
energy,energy lost over 20 s at 2 substeps,0.397480752755,0.33912618143,0.0583545713255,0,1,-1,1
energy,largest energy gain at 2 substeps,0.102535022783,0.102532918797,2.10398620824e-06,-1,0.001,-1,1
energy,linear momentum error at 2 substeps,0.594744235622,1.8698526014e-11,0.594744235603,0,1e-08,-1,1
energy,angular momentum error at 2 substeps,0.025970914455,0.000493331100964,0.025477583354,0,0.001,-1,1
energy,energy lost over 20 s at 4 substeps,0.345615243756,0.261804015401,0.0838112283558,0,1,-1,1
energy,largest energy gain at 4 substeps,3.70320472659,0.0154519854519,3.68775274114,-1,0.001,-1,1
energy,linear momentum error at 4 substeps,1.98515833725,9.40596772017e-11,1.98515833716,0,1e-08,-1,1
energy,angular momentum error at 4 substeps,0.270885501225,0.000263959336944,0.270621541888,0,0.001,-1,1
energy,energy lost over 20 s at 8 substeps,-1.45915229571,0.175074687749,-1.63422698346,0,1,-1,1
energy,largest energy gain at 8 substeps,5.55725858173,0.00022499676553,5.55703358496,-1,0.001,-1,1
energy,linear momentum error at 8 substeps,2.22543472518,4.28030815687e-10,2.22543472475,0,1e-08,-1,1
energy,angular momentum error at 8 substeps,5.95650364357,0.000148416189261,5.95635522738,0,0.001,-1,1
energy,energy lost over 20 s at 16 substeps,-1.99576041693,0.102487156696,-2.09824757362,0,1,-1,1
energy,largest energy gain at 16 substeps,4369.35318817,0,4369.35318817,-1,0.001,-1,1
energy,linear momentum error at 16 substeps,42.30872556,1.1984940726e-09,42.3087255588,0,1e-08,-1,1
energy,angular momentum error at 16 substeps,713.421582614,8.51745633701e-05,713.42149744,0,0.001,-1,1
capstan,capstan ratio, 0.25-1 turn at mu 0.25,1.00150016468,1.0024900453,-0.000989880615595,0,0.06,0.01,1
capstan,capstan ratio, half turn at mu 0.1-0.75,0.745317455025,0.770420543471,-0.0251030884455,0,0.06,0.01,1
