strategy,rods,segments,substeps,steps,seconds,segment_steps_per_sec,launches_per_step,primitives
multikernel,1,64,8,200,0.1956142,523479.379309,64,0
fused,1,64,8,200,0.0202646,5053146.86695,1,0
multikernel,4,64,8,200,0.1918994,2134451.69709,64,0
fused,4,64,8,200,0.0191771,21358808.1618,1,0
multikernel,16,64,8,200,0.1929829,8489871.38239,64,0
fused,16,64,8,200,0.016637,98479293.1418,1,0
multikernel,64,64,8,200,0.1970689,33255374.1356,64,0
fused,64,64,8,200,0.0169665,386267055.669,1,0
multikernel,256,64,8,200,0.1917584,136705354.237,64,0
fused,256,64,8,200,0.0325388,805635118.689,1,0
multikernel,1024,64,8,200,0.2345187,447118289.501,64,0
fused,1024,64,8,200,0.0974954,1075513306.27,1,0
multikernel,4096,64,8,200,0.7072312,593059808.447,64,0
fused,4096,64,8,200,0.3627134,1156368637.06,1,0
multikernel,16384,64,8,200,2.5623629,654755655.415,64,0
fused,16384,64,8,200,1.4526157,1154965900.48,1,0
multikernel,2048,16,8,200,0.2094006,250375595.867,64,0
fused,2048,16,8,200,0.1813913,289037015.557,1,0
multikernel,2048,32,8,200,0.2413052,434543474.405,64,0
fused,2048,32,8,200,0.1818867,576499546.146,1,0
multikernel,2048,64,8,200,0.3506203,598126235.132,64,0
fused,2048,64,8,200,0.1859597,1127745420.11,1,0
multikernel,2048,128,8,200,0.723528,579701683.971,64,0
fused,2048,128,8,200,0.2368882,1770583760.61,1,0
multikernel,2048,256,8,200,1.3155016,637673720.807,64,0
fused,2048,256,8,200,0.4712256,1780168140.27,1,0
multikernel,1024,64,8,200,0.3137156,334244137.046,80,2
fused,1024,64,8,200,0.1210821,866004140.992,1,2
multikernel,16384,64,8,200,3.8747398,432989487.449,80,2
fused,16384,64,8,200,1.8256013,918996716.315,1,2
fused,16384,64,8,200,1.465324,1144949239.9,1,0
multikernel,2048,64,1,200,0.044565,588228430.383,8,0
fused,2048,64,1,200,0.0340655,769529289.164,1,0
multikernel,2048,64,2,200,0.0881296,594905684.356,16,0
fused,2048,64,2,200,0.0562881,931436662.456,1,0
multikernel,2048,64,4,200,0.174504,600889377.894,32,0
fused,2048,64,4,200,0.0982361,1067403938.06,1,0
multikernel,2048,64,8,200,0.3552287,590366713.05,64,0
fused,2048,64,8,200,0.1897733,1105082748.73,1,0
multikernel,2048,64,16,200,0.6935108,604792888.589,128,0
fused,2048,64,16,200,0.3720262,1127421670.84,1,0
multikernel,2048,64,32,200,1.3884841,604155856.016,256,0
fused,2048,64,32,200,0.7221773,1161571819,1,0
