step,time,min_distance,diameter,self_contacts
0,0,0.016,0.01,0
25,0.025,0.0154901769563,0.01,0
50,0.05,0.0152202053903,0.01,0
75,0.075,0.0155818075923,0.01,0
100,0.1,0.0156611938211,0.01,0
125,0.125,0.0155238124945,0.01,0
150,0.15,0.0153055498227,0.01,0
175,0.175,0.0157174627144,0.01,0
200,0.2,0.0157061657075,0.01,0
225,0.225,0.0153665405488,0.01,0
250,0.25,0.015622665961,0.01,0
275,0.275,0.015758309692,0.01,0
300,0.3,0.0158039386997,0.01,0
325,0.325,0.0156648620835,0.01,0
350,0.35,0.0157907348092,0.01,0
375,0.375,0.0156523504493,0.01,0
400,0.4,0.0100000007981,0.01,4
425,0.425,0.00999878329999,0.01,5
450,0.45,0.0099999211936,0.01,10
475,0.475,0.00999479191691,0.01,4
500,0.5,0.00999997233626,0.01,6
525,0.525,0.0100252696511,0.01,0
550,0.55,0.015229449528,0.01,0
575,0.575,0.0102332228315,0.01,0
600,0.6,0.0130973691723,0.01,0
625,0.625,0.0157666242465,0.01,0
650,0.65,0.0159055245089,0.01,0
675,0.675,0.0157869383554,0.01,0
700,0.7,0.0099999879441,0.01,4
725,0.725,0.0100055128989,0.01,0
750,0.75,0.0100000027478,0.01,2
775,0.775,0.011109267387,0.01,0
800,0.8,0.00999920941037,0.01,2
825,0.825,0.00999860079176,0.01,2
850,0.85,0.0100000000196,0.01,2
875,0.875,0.00999441345609,0.01,0
900,0.9,0.0108366334216,0.01,0
925,0.925,0.00999724636759,0.01,2
950,0.95,0.00999929375991,0.01,0
975,0.975,0.00999993649371,0.01,13
1000,1,0.00999999983863,0.01,2
1025,1.025,0.00999924844973,0.01,6
1050,1.05,0.00999897556081,0.01,2
1075,1.075,0.00999938276169,0.01,3
1100,1.1,0.0100893673452,0.01,0
1125,1.125,0.0100659269805,0.01,0
1150,1.15,0.0100000092705,0.01,3
1175,1.175,0.0106409958373,0.01,0
1200,1.2,0.0115974452784,0.01,0
1225,1.225,0.0119364922769,0.01,0
1250,1.25,0.0144658664638,0.01,0
1275,1.275,0.0100000028197,0.01,1
1300,1.3,0.0106153176832,0.01,0
1325,1.325,0.015914030254,0.01,0
1350,1.35,0.0158609132036,0.01,0
1375,1.375,0.015860999141,0.01,0
1400,1.4,0.0159120942213,0.01,0
1425,1.425,0.0159451385995,0.01,0
1450,1.45,0.0159619835639,0.01,0
1475,1.475,0.0159576508668,0.01,0
1500,1.5,0.015966040863,0.01,0
1525,1.525,0.0159559663544,0.01,0
1550,1.55,0.0159695253771,0.01,0
1575,1.575,0.00999999555042,0.01,1
1600,1.6,0.0105314139173,0.01,0
1625,1.625,0.00999909413285,0.01,0
1650,1.65,0.00999999821068,0.01,1
1675,1.675,0.00999999967033,0.01,1
1700,1.7,0.00999999851883,0.01,1
1725,1.725,0.00999999994638,0.01,1
1750,1.75,0.00999999717864,0.01,1
1775,1.775,0.0099999985511,0.01,1
1800,1.8,0.00999999993782,0.01,1
1825,1.825,0.00999999993268,0.01,1
1850,1.85,0.00999999999959,0.01,1
1875,1.875,0.00999999999528,0.01,1
1900,1.9,0.00999999999797,0.01,1
1925,1.925,0.00999999983773,0.01,1
1950,1.95,0.00999999997917,0.01,1
1975,1.975,0.0099999999959,0.01,1
2000,2,0.00999999987061,0.01,1
2025,2.025,0.00999999997894,0.01,1
2050,2.05,0.00999999997009,0.01,1
2075,2.075,0.00999999994992,0.01,1
2100,2.1,0.00999999996725,0.01,1
2125,2.125,0.00999999999553,0.01,1
2150,2.15,0.00999999999467,0.01,1
2175,2.175,0.00999999999502,0.01,1
2200,2.2,0.00999999999591,0.01,1
2225,2.225,0.0099999999228,0.01,1
2250,2.25,0.00999999999601,0.01,1
2275,2.275,0.00999999999595,0.01,1
2300,2.3,0.00999999999388,0.01,1
2325,2.325,0.00999999998127,0.01,1
2350,2.35,0.00999999999764,0.01,1
2375,2.375,0.00999999999957,0.01,1
2400,2.4,0.00999999998051,0.01,1
2425,2.425,0.00999999999912,0.01,1
2450,2.45,0.00999999998987,0.01,1
2475,2.475,0.00999999999768,0.01,1
2500,2.5,0.00999999999577,0.01,1
