youngs,substeps,iterations,sweeps,segments,max_dt,dt_per_sweep,broke
1000000,1,1,1,16,0.181908409495,0.181908409495,1
1000000,2,1,2,16,0.373520634194,0.186760317097,1
1000000,4,1,4,16,0.5,0.125,0
1000000,8,1,8,16,0.5,0.0625,0
1000000,16,1,16,16,0.5,0.03125,0
10000000,1,1,1,16,0.182002998841,0.182002998841,1
10000000,2,1,2,16,0.373520634194,0.186760317097,1
10000000,4,1,4,16,0.5,0.125,0
10000000,8,1,8,16,0.5,0.0625,0
10000000,16,1,16,16,0.5,0.03125,0
100000000,1,1,1,16,0.182002998841,0.182002998841,1
100000000,2,1,2,16,0.373520634194,0.186760317097,1
100000000,4,1,4,16,0.5,0.125,0
100000000,8,1,8,16,0.5,0.0625,0
100000000,16,1,16,16,0.5,0.03125,0
1000000000,1,1,1,16,0.182002998841,0.182002998841,1
1000000000,2,1,2,16,0.373520634194,0.186760317097,1
1000000000,4,1,4,16,0.5,0.125,0
1000000000,8,1,8,16,0.5,0.0625,0
1000000000,16,1,16,16,0.5,0.03125,0
10000000000,1,1,1,16,0.182002998841,0.182002998841,1
10000000000,2,1,2,16,0.373520634194,0.186760317097,1
10000000000,4,1,4,16,0.5,0.125,0
10000000000,8,1,8,16,0.5,0.0625,0
10000000000,16,1,16,16,0.5,0.03125,0
10000000,1,2,2,16,0.267251722895,0.133625861447,1
10000000,1,4,4,16,0.412940681565,0.103235170391,1
10000000,1,8,8,16,0.5,0.0625,0
10000000,1,16,16,16,0.5,0.03125,0
