threads,rods,segments,substeps,steps,seconds,segment_steps_per_sec
1,256,64,8,100,6.8938754,1901281.82473
2,256,64,8,100,3.4887722,3756966.4193
4,256,64,8,100,1.7891401,7325977.43463
8,256,64,8,100,0.9505322,13789327.705
16,256,64,8,100,0.5787897,22645876.3865
16,1,64,8,100,0.0276016,1854964.92957
16,4,64,8,100,0.027942,7329468.1841
16,16,64,8,100,0.0341932,23957979.9492
16,64,64,8,100,0.1585463,20667779.6959
16,256,64,8,100,0.6026932,21747715.0895
16,1024,64,8,100,2.2691116,23105430.3367
16,256,8,8,100,0.0709704,23085680.7909
16,256,16,8,100,0.1686883,19425176.4942
16,256,32,8,100,0.3073185,21325107.3398
16,256,64,8,100,0.5854262,22389158.531
16,256,128,8,100,1.128706,23225179.9849
16,256,256,8,100,2.4123845,21733185.5681
16,256,64,1,100,0.0685696,23893970.5059
16,256,64,2,100,0.1376449,23806185.3363
16,256,64,4,100,0.2909916,22521612.3077
16,256,64,8,100,0.5761628,22749125.7679
16,256,64,16,100,1.1421573,22951654.7327
16,256,64,32,100,2.3132519,22664544.2288
