segments,phi,overshoot,sigma
16,12.374849763,0.02,0
16,12.617493876,0.04,1.39677591325
16,12.860137989,0.06,1.89046395156
16,13.102782102,0.08,2.295697999
16,13.345426215,0.1,2.65427676426
16,13.588070328,0.12,2.98262317745
24,12.374849763,0.02,1.05236978656
24,12.617493876,0.04,1.68502385144
24,12.860137989,0.06,2.15799914995
24,13.102782102,0.08,2.56269904618
24,13.345426215,0.1,2.92949757378
24,13.588070328,0.12,3.27071746164
32,12.374849763,0.02,1.17090520874
32,12.617493876,0.04,1.78011990181
32,12.860137989,0.06,2.2475208326
32,13.102782102,0.08,2.65427676426
32,13.345426215,0.1,3.02573599605
32,13.588070328,0.12,3.37128124889
48,12.374849763,0.02,1.25072519989
48,12.617493876,0.04,1.84649967361
48,12.860137989,0.06,2.31415587236
48,13.102782102,0.08,2.72173178841
48,13.345426215,0.1,3.09279394626
48,13.588070328,0.12,3.44698367215
